Gene	p_value
ENSMUSG00000048126	0.0011237395525847598
ENSMUSG00000025905	9.107416892761421e-06
ENSMUSG00000022025	0.00655470307568468
ENSMUSG00000114028	9.661279116473118e-05
ENSMUSG00000035431	0.03252577165866358
ENSMUSG00000045871	0.0062232767990778055
ENSMUSG00000003411	0.0010373292610802059
ENSMUSG00000035305	0.0050595434980778235
ENSMUSG00000091387	0.0008668537642581224
ENSMUSG00000020732	0.006256568475811913
ENSMUSG00000029335	1.6178123688438218e-05
ENSMUSG00000079466	0.0026288733775914853
ENSMUSG00000042826	0.03476866570198494
ENSMUSG00000032502	0.0006509811690223408
ENSMUSG00000021676	3.74240047620095e-05
ENSMUSG00000034037	0.00014383726990842017
ENSMUSG00000024990	0.00013422031310612493
ENSMUSG00000028864	0.004054810243404916
ENSMUSG00000028717	0.0005635208044465018
ENSMUSG00000031491	0.007526561435692018
ENSMUSG00000024421	0.023587914293239934
ENSMUSG00000059049	0.0049919910334729365
ENSMUSG00000045573	2.67445380304485e-05
ENSMUSG00000023484	0.034321058879479525
ENSMUSG00000026604	0.0010056785567721523
ENSMUSG00000024985	0.011693308259156312
ENSMUSG00000019787	0.013012919144443389
ENSMUSG00000038668	0.008423023736792542
ENSMUSG00000062309	0.0003859211236744598
ENSMUSG00000043168	0.00020256527052764007
ENSMUSG00000028339	0.0010883556552812464
ENSMUSG00000022935	0.0002653958040909397
ENSMUSG00000097466	1.8757019311170664e-05
ENSMUSG00000063727	0.040413905626401736
ENSMUSG00000022245	0.0014813731293787406
ENSMUSG00000028370	0.00016788448321366036
ENSMUSG00000039385	0.002049251183165875
ENSMUSG00000047344	0.00021379346798100935
ENSMUSG00000031548	0.00451458990961955
ENSMUSG00000020614	3.402045736100649e-05
ENSMUSG00000024998	0.0052286801656110824
ENSMUSG00000031557	0.0010197986392809196
ENSMUSG00000023913	3.222651835010315e-05
ENSMUSG00000031364	0.002631020740612463
ENSMUSG00000057719	5.054336328339958e-06
ENSMUSG00000035783	0.0003571144785536905
ENSMUSG00000045903	4.7719853233268356e-05
ENSMUSG00000026235	0.0002737942189045326
ENSMUSG00000048251	6.830238694858222e-05
ENSMUSG00000029822	0.00042333148762693535
ENSMUSG00000090291	0.006803213723221881
ENSMUSG00000039153	1.076250070960451e-05
ENSMUSG00000049555	0.004547943528090711
ENSMUSG00000075707	0.03716194271308889
ENSMUSG00000022836	0.00012969528060801088
ENSMUSG00000033207	0.0006897550968975573
ENSMUSG00000026726	0.0016222966863405218
ENSMUSG00000037016	0.010924391103331916
ENSMUSG00000003476	0.004002206175785026
ENSMUSG00000096225	0.008091187684076151
ENSMUSG00000041957	0.0004177492521356658
ENSMUSG00000038257	0.0014419237326801667
ENSMUSG00000021200	0.00022191116651436725
ENSMUSG00000025128	0.003397782696882811
ENSMUSG00000030525	0.0016070275943187847
ENSMUSG00000029595	0.007208873594776057
ENSMUSG00000027230	0.0006040529320722868
ENSMUSG00000037610	0.017710420152886135
ENSMUSG00000062372	0.0011886189675274054
ENSMUSG00000072568	0.0019373541271569942
ENSMUSG00000020122	0.00039458665569822395
ENSMUSG00000032845	0.025540203992109933
ENSMUSG00000020734	0.00839096222200046
ENSMUSG00000014813	9.751484179608018e-05
ENSMUSG00000067001	0.001053406605442246
ENSMUSG00000021239	0.01422455191477632
ENSMUSG00000042761	0.0025181585632162522
ENSMUSG00000043456	0.001485224181883996
ENSMUSG00000034687	0.0020998314837918064
ENSMUSG00000026247	0.012551921502121
ENSMUSG00000063681	0.008187842485023605
ENSMUSG00000001773	0.018565280178936012
ENSMUSG00000049538	0.004730796734203519
ENSMUSG00000026315	1.375673049633721e-06
